from_id,relationship_type,to_id,established_by,rating_required
MLE.3,HAS_OUTCOME,MLE.3.OUT.3,null,null
MLE.3,HAS_OUTCOME,MLE.3.OUT.4,null,null
MLE.3,HAS_OUTCOME,MLE.3.OUT.5,null,null
MLE.4,HAS_BASE_PRACTICE,MLE.4.BP1,null,null
MLE.4,HAS_BASE_PRACTICE,MLE.4.BP2,null,null
MLE.4,HAS_BASE_PRACTICE,MLE.4.BP3,null,null
MLE.4,HAS_BASE_PRACTICE,MLE.4.BP4,null,null
MLE.4,HAS_BASE_PRACTICE,MLE.4.BP5,null,null
MLE.4,HAS_BASE_PRACTICE,MLE.4.BP6,null,null
MLE.4,HAS_BASE_PRACTICE,MLE.4.BP7,null,null
MLE.4,BELONGS_TO,MLE,null,null
MLE.4,HAS_OUTCOME,MLE.4.OUT.1,null,null
MLE.4,HAS_OUTCOME,MLE.4.OUT.2,null,null
MLE.4,HAS_OUTCOME,MLE.4.OUT.3,null,null
MLE.4,HAS_OUTCOME,MLE.4.OUT.4,null,null
MLE.4,HAS_OUTCOME,MLE.4.OUT.5,null,null
MLE.4,HAS_OUTCOME,MLE.4.OUT.6,null,null
HWE.1,HAS_BASE_PRACTICE,HWE.1.BP1,null,null
HWE.1,HAS_BASE_PRACTICE,HWE.1.BP2,null,null
HWE.1,HAS_BASE_PRACTICE,HWE.1.BP3,null,null
HWE.1,HAS_BASE_PRACTICE,HWE.1.BP4,null,null
HWE.1,HAS_BASE_PRACTICE,HWE.1.BP5,null,null
HWE.1,HAS_BASE_PRACTICE,HWE.1.BP6,null,null
HWE.1,BELONGS_TO,HWE,null,null
HWE.1,HAS_OUTCOME,HWE.1.OUT.1,null,null
HWE.1,HAS_OUTCOME,HWE.1.OUT.2,null,null
HWE.1,HAS_OUTCOME,HWE.1.OUT.3,null,null
HWE.1,HAS_OUTCOME,HWE.1.OUT.4,null,null
HWE.1,HAS_OUTCOME,HWE.1.OUT.5,null,null
HWE.1,HAS_OUTCOME,HWE.1.OUT.6,null,null
HWE.1,HAS_OUTCOME,HWE.1.OUT.7,null,null
HWE.2,HAS_BASE_PRACTICE,HWE.2.BP1,null,null
HWE.2,HAS_BASE_PRACTICE,HWE.2.BP2,null,null
HWE.2,HAS_BASE_PRACTICE,HWE.2.BP3,null,null
HWE.2,HAS_BASE_PRACTICE,HWE.2.BP4,null,null
HWE.2,HAS_BASE_PRACTICE,HWE.2.BP5,null,null
HWE.2,HAS_BASE_PRACTICE,HWE.2.BP6,null,null
HWE.2,BELONGS_TO,HWE,null,null
HWE.2,HAS_OUTCOME,HWE.2.OUT.1,null,null
HWE.2,HAS_OUTCOME,HWE.2.OUT.2,null,null
